number,value,datetime_start,datetime_complete,duration,params_disp_width,params_learning_rate,params_lr_gamma,params_lr_step_size,params_scheduler,params_stress_width,params_w_bc,params_w_cons_bc,params_w_data,user_attrs_best_reported_value,user_attrs_disp_rel_l2,user_attrs_disp_rmse,user_attrs_final_loss,user_attrs_sigma11_max_abs,user_attrs_sigma11_rel_l2,user_attrs_sigma11_rmse,user_attrs_sigma12_max_abs,user_attrs_sigma12_rel_l2,user_attrs_sigma12_rmse,user_attrs_sigma22_max_abs,user_attrs_sigma22_rel_l2,user_attrs_sigma22_rmse,user_attrs_study_mode,user_attrs_trial_dir,user_attrs_u_max_abs,user_attrs_u_rel_l2,user_attrs_u_rmse,user_attrs_use_data_part_e,user_attrs_v_max_abs,user_attrs_v_rel_l2,user_attrs_v_rmse,state
0,,2026-03-15 00:25:22.993822,2026-03-15 00:25:24.279222,0 days 00:00:01.285400,400,0.00019182157424526137,0.5012332661231238,6000.0,step,300,0.5,0.5,53.67498945698209,,,,,,,,,,,,,,,,,,,,,,,FAIL
1,6.912858527562225,2026-03-15 00:27:07.522854,2026-03-15 00:27:08.428416,0 days 00:00:00.905562,400,0.00019182157424526137,0.5012332661231238,6000.0,step,300,0.5,0.5,53.67498945698209,6.912858527562225,6.912858527562225,0.13997095823287964,0.7346866130828857,1.6518397566820329,9.115888439905197,1.1246147850750492,0.2585122844417923,4.051313594644068,0.09282926331795306,0.7920621463130746,19.778685915958476,0.5317311363044708,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0001,0.3209872841835022,6.100672906178992,0.16454757750034332,True,0.16395297646522522,11.44310686453962,0.11003561317920685,COMPLETE
2,0.06837270299919393,2026-03-15 00:31:46.980820,2026-03-15 00:34:49.209175,0 days 00:03:02.228355,400,0.00019182157424526137,0.5012332661231238,6000.0,step,300,0.5,0.5,53.67498945698209,0.06837270299919393,0.06837270299919393,0.0013844046043232083,0.00030968713690526783,0.17016883731378923,0.2412355581433976,0.029760903411924368,0.047639862224156934,0.47634838528383777,0.010914748674862845,0.18381834462983043,1.2483213044192567,0.033559929536894295,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0002,0.007318546995520592,0.0464638494889642,0.0012532246764749289,True,0.007502593100070953,0.1564273693645571,0.0015041877049952745,COMPLETE
3,0.2512326068812611,2026-03-15 00:34:49.349324,2026-03-15 00:38:15.747151,0 days 00:03:26.397827,400,0.0008109886482250082,0.669947051446226,4000.0,step,500,0.5,1.0,23.36545096950014,0.08483714628556585,0.2512326068812611,0.005086936522275209,0.0062376586720347404,0.09607500708777589,0.34043900034289554,0.04199949744073126,0.050167282293043444,0.5016465571514148,0.011494415146711083,0.25676083625060947,2.415977785408898,0.06495126211015408,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0003,0.009199261665344238,0.1807017432347953,0.004873894155025482,True,0.013131866231560707,0.5502777432079637,0.00529140792787075,COMPLETE
4,0.05204940762837129,2026-03-15 00:38:15.833261,2026-03-15 00:41:23.207664,0 days 00:03:07.374403,200,0.00011747609149663884,,,none,400,5.0,2.0,827.1866644681312,0.05118062040234746,0.05204940762837129,0.0010538919596001506,0.0016513790469616652,0.16801928018377632,0.22229408821975546,0.027424119974126634,0.05070478165363995,0.5104599489915318,0.011696359689570501,0.20737806767923267,1.3276170735594137,0.03569172077965895,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0004,0.004965794272720814,0.03228469980946456,0.0008707841043360531,True,0.0070323217660188675,0.1257909563735162,0.0012095915153622627,COMPLETE
5,0.06534106036827145,2026-03-15 00:41:23.315279,2026-03-15 00:44:26.201760,0 days 00:03:02.886481,300,0.001478519501572913,0.6599860779346701,4000.0,step,400,2.0,0.5,39.92853826919232,0.06534106036827145,0.06534106036827145,0.0013230200856924057,0.0002568186610005796,0.13580849331046319,0.18128849363308477,0.022365315421287817,0.043283286260721365,0.4006037202285558,0.009179182840946034,0.16614893884164722,1.1361381646280875,0.03054399265166214,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0005,0.005877521820366383,0.04021818352222365,0.0010847663506865501,True,0.007980626076459885,0.1585378856418123,0.0015244822716340423,COMPLETE
6,0.05451320680081379,2026-03-15 00:44:26.312770,2026-03-15 00:47:46.615868,0 days 00:03:20.303098,300,0.0004419205431363307,,,none,500,2.0,0.5,118.51037868228522,0.05451320680081379,0.05451320680081379,0.001103778718970716,0.00029392982833087444,0.12712075870658135,0.1615601943340983,0.019931461911310382,0.04837035067349203,0.44392737197083443,0.010171873873503,0.1725504292617503,1.06670119030729,0.028677245719432837,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0006,0.004283752292394638,0.033449109039914736,0.0009021906298585236,True,0.0071267783641815186,0.132474036515978,0.0012738552177324891,COMPLETE
7,0.06643606461368519,2026-03-15 00:47:46.745315,2026-03-15 00:51:03.696368,0 days 00:03:16.951053,400,0.0016220371066971578,,,none,400,5.0,2.0,693.1147518026642,0.04072031666438297,0.06643606461368519,0.001345191616564989,0.0024217835161834955,0.22294520745663485,0.31704612394166964,0.03911355002708285,0.1265117211011816,0.9277831889982269,0.021258643139189834,0.16804380950723455,1.5427090866179325,0.041474264726187884,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0007,0.006703026592731476,0.04777407042931793,0.0012885639443993568,True,0.00801604799926281,0.14554353244613985,0.0013995299814268947,COMPLETE
8,0.08305083010728533,2026-03-15 00:51:03.788643,2026-03-15 00:51:21.553197,0 days 00:00:17.764554,300,0.00198834500601333,,,none,300,0.5,0.5,44.298561924789624,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,0.05597325159248799,2026-03-15 00:51:21.646002,2026-03-15 00:54:26.248883,0 days 00:03:04.602881,200,0.0007450977018819746,0.3569741493367269,6000.0,step,400,2.0,2.0,216.55779076584318,0.05597325159248799,0.05597325159248799,0.0011333415750414133,0.00041799084283411503,0.10057889795977754,0.13239934917067145,0.016333928019549075,0.04869815386801489,0.48688054872446074,0.011156076074111778,0.17003049075294482,1.1677144924283602,0.03139289215554747,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0009,0.003631342202425003,0.028780517077898186,0.0007762691238895059,True,0.007407471537590027,0.1458274020854687,0.0014022596878930926,COMPLETE
10,0.2514180884020894,2026-03-15 00:54:26.365602,2026-03-15 00:54:35.528272,0 days 00:00:09.162670,400,0.00023857827997977364,,,none,400,5.0,0.5,604.1077063213121,,,,,,,,,,,,,,,,,,,,,,,PRUNED
11,0.11483604701407152,2026-03-15 00:54:35.615814,2026-03-15 00:54:44.868509,0 days 00:00:09.252695,200,0.0002085577812614378,,,none,400,5.0,2.0,86.89805451127876,,,,,,,,,,,,,,,,,,,,,,,PRUNED
12,0.08348259117402854,2026-03-15 00:54:44.959829,2026-03-15 00:55:03.715469,0 days 00:00:18.755640,300,0.0003964130138445198,,,none,500,1.0,0.5,68.03298478873297,,,,,,,,,,,,,,,,,,,,,,,PRUNED
13,0.1269183602381714,2026-03-15 00:55:03.783809,2026-03-15 00:55:13.220725,0 days 00:00:09.436916,300,0.00019270918442089324,,,none,500,2.0,0.5,367.9445679226082,,,,,,,,,,,,,,,,,,,,,,,PRUNED
14,0.04635592027900929,2026-03-15 00:55:13.289301,2026-03-15 00:58:18.744230,0 days 00:03:05.454929,200,0.0002247702891785701,,,none,400,5.0,2.0,884.2395875494129,0.04635592027900929,0.04635592027900929,0.0009386106394231319,0.0012335274368524551,0.12392803590918755,0.16900168517849853,0.020849508537460204,0.05545669101148375,0.5233921356038106,0.01199267971720183,0.1874667523871127,1.2274950458562586,0.03300003540754072,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0014,0.003820190206170082,0.027286503215971078,0.0007359724841080606,True,0.006413761526346207,0.11488104060888862,0.0011046829167753458,COMPLETE
15,0.11619042603555742,2026-03-15 00:58:18.843108,2026-03-15 01:01:06.848250,0 days 00:02:48.005142,200,0.00028125371488991227,,,none,400,5.0,2.0,901.2768380569332,0.048575814186396817,0.11619042603555742,0.0023526137229055166,0.004278636071830988,0.1246248090316237,0.20375751642084772,0.025137288268464213,0.05079918050980298,0.5252531300343963,0.01203532137847893,0.2103251075814429,1.4168404920355109,0.0380904074210695,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0015,0.005287207663059235,0.07636831443433108,0.0020598089322447777,True,0.005622958764433861,0.2717179107837777,0.0026128084864467382,COMPLETE
16,0.048534277478101205,2026-03-15 01:01:07.048543,2026-03-15 01:04:24.134757,0 days 00:03:17.086214,300,0.00010290745490654986,,,none,400,0.5,2.0,328.68090634450016,0.04853157156097773,0.048534277478101205,0.0009827178437262774,0.0005926747107878327,0.1346742862512053,0.19155049697750673,0.02363132484666716,0.05330939659690587,0.5201887903738931,0.011919280270109061,0.18810362056595714,1.2140558741130782,0.0326387360728753,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0016,0.004356849938631058,0.029032803926964404,0.0007830738322809339,True,0.006561663001775742,0.11940208476953432,0.0011481568217277527,COMPLETE
17,0.14024318834375896,2026-03-15 01:04:24.237048,2026-03-15 01:04:33.968252,0 days 00:00:09.731204,300,0.00010893899657227423,,,none,400,0.5,1.0,263.0517150504716,,,,,,,,,,,,,,,,,,,,,,,PRUNED
18,0.08787069068904366,2026-03-15 01:04:34.073895,2026-03-15 01:07:54.137458,0 days 00:03:20.063563,300,0.00021489588496320165,,,none,400,0.5,2.0,449.8747293491153,0.042885757658203294,0.08787069068904366,0.0017791982972994447,0.0013861749321222305,0.12242464101988954,0.16837061203949313,0.020771653900770876,0.04795123146688668,0.528258074241174,0.012104174788739616,0.17684386730892093,1.109296414033916,0.02982237774739165,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0018,0.003037191927433014,0.06384813672089598,0.0017221142770722508,True,0.004444848746061325,0.1907787507044085,0.001834506751038134,COMPLETE
19,0.10267451674550648,2026-03-15 01:07:54.303071,2026-03-15 01:08:02.181284,0 days 00:00:07.878213,300,0.0001399969720993278,0.3009465471750359,2000.0,step,300,2.0,2.0,333.0361855752461,,,,,,,,,,,,,,,,,,,,,,,PRUNED
20,0.2286374828006977,2026-03-15 01:08:02.274496,2026-03-15 01:08:23.797002,0 days 00:00:21.522506,400,0.00013420091864302952,0.4205716266209524,2000.0,step,400,1.0,2.0,317.3862419781603,,,,,,,,,,,,,,,,,,,,,,,PRUNED
21,0.10156652292396638,2026-03-15 01:08:23.902574,2026-03-15 01:08:32.016654,0 days 00:00:08.114080,300,0.00016488340967815961,,,none,300,5.0,2.0,141.42472780923978,,,,,,,,,,,,,,,,,,,,,,,PRUNED
22,0.14600987926233014,2026-03-15 01:08:32.106688,2026-03-15 01:08:43.574775,0 days 00:00:11.468087,200,0.0001223812781245629,0.5855413738582281,2000.0,step,500,5.0,2.0,435.4819513179728,,,,,,,,,,,,,,,,,,,,,,,PRUNED
23,0.15887589886927647,2026-03-15 01:08:43.689217,2026-03-15 01:08:52.552137,0 days 00:00:08.862920,200,0.00016701455649739848,0.43390447635769225,4000.0,step,400,0.5,2.0,990.4625109042576,,,,,,,,,,,,,,,,,,,,,,,PRUNED
24,0.14310139988303863,2026-03-15 01:08:52.643979,2026-03-15 01:09:02.987505,0 days 00:00:10.343526,300,0.00010962561248094855,,,none,400,5.0,2.0,863.5078727631517,,,,,,,,,,,,,,,,,,,,,,,PRUNED
25,0.10211060596484153,2026-03-15 01:09:03.097496,2026-03-15 01:09:10.150702,0 days 00:00:07.053206,200,0.00011354296118699998,,,none,300,5.0,0.5,274.044129771023,,,,,,,,,,,,,,,,,,,,,,,PRUNED
26,0.09257277637474443,2026-03-15 01:09:10.240371,2026-03-15 01:09:35.512434,0 days 00:00:25.272063,400,0.00010116580720929997,,,none,500,0.5,2.0,857.2963657843014,,,,,,,,,,,,,,,,,,,,,,,PRUNED
